Indexador,Ativo,Dias_Out_Of_Sample,Dias_Violacao_VaR_Esperados,Dias_Violacao_VaR_Reais,P_Valor_POF,POF_Valido,P_Valor_CC,CC_Valido,P_Valor_Joint,Joint_Valido,Modelo_Valido,POF_Valido_Num,Joint_90,Joint_95,Joint_99
CDI_Spread,BCBF16,358,3.5800,65,0.0000,NÃO,0.6816,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,BKBR18,91,0.9100,8,0.0000,NÃO,0.0165,NÃO,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,BPSE11,213,2.1300,15,0.0000,NÃO,0.3737,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,BRFS41,164,1.6400,12,0.0000,NÃO,0.1670,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,BRKMA6,568,5.6800,68,0.0000,NÃO,0.1317,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,BRKPA0,703,7.0300,36,0.0000,NÃO,0.4074,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,BSA315,46,0.4600,0,0.3363,SIM,,SIM,,SIM,SIM,1,0,0,0
CDI_Spread,BSA325,68,0.6800,4,0.0055,NÃO,0.1945,SIM,0.0092,NÃO,NÃO,0,0,0,0
CDI_Spread,CAEC11,121,1.2100,2,0.5094,SIM,0.7946,SIM,0.7776,SIM,SIM,1,1,1,1
CDI_Spread,CAML10,81,0.8100,37,0.0000,NÃO,0.4566,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,CAML19,210,2.1000,0,0.0399,NÃO,,SIM,,SIM,SIM,0,0,0,0
CDI_Spread,CAMLB1,382,3.8200,21,0.0000,NÃO,0.1064,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,CASN12,44,0.4400,3,0.0105,NÃO,0.5021,SIM,0.0302,NÃO,NÃO,0,0,0,1
CDI_Spread,CBAN22,355,3.5500,9,0.0149,NÃO,0.4932,SIM,0.0408,NÃO,NÃO,0,0,0,1
CDI_Spread,CBRDA8,613,6.1300,75,0.0000,NÃO,0.2848,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,CBRDB8,609,6.0900,168,,SIM,0.0594,SIM,,SIM,SIM,1,0,0,0
CDI_Spread,CCRDC1,202,2.0200,5,0.0760,SIM,0.6135,SIM,0.1824,SIM,SIM,1,1,1,1
CDI_Spread,CCROA4,227,2.2700,4,0.2975,SIM,0.7042,SIM,0.5407,SIM,SIM,1,1,1,1
CDI_Spread,CCROA6,264,2.6400,7,0.0253,NÃO,0.5361,SIM,0.0676,SIM,SIM,0,0,1,1
CDI_Spread,CEAB11,241,2.4100,12,0.0000,NÃO,0.0000,NÃO,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,CEED11,228,2.2800,14,0.0000,NÃO,0.8782,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,CELU13,114,1.1400,1,0.8929,SIM,0.8937,SIM,0.9822,SIM,SIM,1,1,1,1
CDI_Spread,CEMTA1,58,0.5800,3,0.0236,NÃO,0.5636,SIM,0.0653,SIM,SIM,0,0,1,1
CDI_Spread,CGBP13,174,1.7400,5,0.0429,NÃO,0.5854,SIM,0.1111,SIM,SIM,0,1,1,1
CDI_Spread,CLCD14,218,2.1800,0,0.0363,NÃO,,SIM,,SIM,SIM,0,0,0,0
CDI_Spread,CLOR11,19,0.1900,2,0.0145,NÃO,0.7315,SIM,0.0475,NÃO,NÃO,0,0,0,1
CDI_Spread,CMGD17,103,1.0300,5,0.0046,NÃO,0.4727,SIM,0.0140,NÃO,NÃO,0,0,0,1
CDI_Spread,CMPH14,301,3.0100,139,0.0000,NÃO,0.0155,NÃO,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,COCE17,23,0.2300,1,0.2325,SIM,0.7576,SIM,0.4674,SIM,SIM,1,1,1,1
CDI_Spread,COGN17,338,3.3800,24,0.0000,NÃO,0.3292,SIM,0.0000,NÃO,NÃO,0,0,0,0
